,Temperature (C),Humidity,Wind Speed (km/h)
2025-05-12 00:00:00,4.287155213160471,0.8080809012441889,13.692207291032979
2025-05-12 01:00:00,4.455859252352193,0.8072774333482402,13.612072777425391
2025-05-12 02:00:00,4.955942184667017,0.7930406926143809,13.701529000069694
2025-05-12 03:00:00,5.657851750763071,0.7715002073343417,13.914427830619488
2025-05-12 04:00:00,6.408468180949974,0.7471771048952852,14.089511226260484
2025-05-12 05:00:00,7.1229357782759335,0.7226782496997239,14.267020766992001
2025-05-12 06:00:00,7.7520417077509896,0.7009335920109317,14.395610067981702
2025-05-12 07:00:00,8.261788324167838,0.6830430400352343,14.464764899958956
2025-05-12 08:00:00,8.65513939098635,0.6697815047927713,14.470381133522345
2025-05-12 09:00:00,8.946213883188953,0.6605304559273901,14.412210034857113
2025-05-12 10:00:00,9.15469490057611,0.6541942936502255,14.290767655020082
2025-05-12 11:00:00,9.243454271319612,0.652260497274459,14.108407405699392
2025-05-12 12:00:00,9.230555071630256,0.654247544509418,13.894281744156643
2025-05-12 13:00:00,9.046008198714198,0.6612585718641374,13.635183618559095
2025-05-12 14:00:00,8.654872399387667,0.6751168264118619,13.304457288067743
2025-05-12 15:00:00,8.139469029399617,0.6940834611293951,12.924396975855727
2025-05-12 16:00:00,7.546642143800741,0.7159889974375669,12.533199671200085
2025-05-12 17:00:00,6.945874333047685,0.7384113329491444,12.165251017506602
2025-05-12 18:00:00,6.395838894561095,0.7592031832954054,11.849546795478755
2025-05-12 19:00:00,5.935851823244095,0.7767508750824895,11.60036791097227
2025-05-12 20:00:00,5.587433074006802,0.7901797766695603,11.427205611654045
2025-05-12 21:00:00,5.3591791903206385,0.7991344213263214,11.327659441932056
2025-05-12 22:00:00,5.250238974106747,0.803613560636365,11.294844050535856
2025-05-12 23:00:00,5.2551704384754405,0.8039323916434564,11.3200305619096
2025-05-13 00:00:00,5.368357162486382,0.8003556024772615,11.392852477752136
2025-05-13 01:00:00,5.585240443426248,0.793099917181752,11.50538867024812
2025-05-13 02:00:00,5.8922443287689745,0.7826946377012693,11.646446676272129
2025-05-13 03:00:00,6.272131662573019,0.7697611145752351,11.805617827965364
2025-05-13 04:00:00,6.6951697488330035,0.7552812885661586,11.969476917226078
2025-05-13 05:00:00,7.12126421909007,0.74063540214243,12.119877098384668
2025-05-13 06:00:00,7.5144951560139255,0.7271371329358248,12.239821445550874
2025-05-13 07:00:00,7.842769363354013,0.7159513144855127,12.31656334366276
2025-05-13 08:00:00,8.083589537710314,0.7079236065004334,12.34256515810717
2025-05-13 09:00:00,8.225078706032898,0.7035120165921476,12.31627567725934
2025-05-13 10:00:00,8.2648982181344,0.702809694447358,12.24105528528734
2025-05-13 11:00:00,8.208108882552896,0.7056261451461394,12.124090593731882
2025-05-13 12:00:00,8.065265374356079,0.7115568372671695,11.974745034604299
2025-05-13 13:00:00,7.850769519692235,0.7200518342790906,11.803523334325691
2025-05-13 14:00:00,7.581847534204838,0.7304703693097332,11.621309205642827
2025-05-13 15:00:00,7.2783613343737406,0.7420863527707133,11.438895018088271
2025-05-13 16:00:00,6.962756484249982,0.7540954596074632,11.267078512752772
2025-05-13 17:00:00,6.658514954640352,0.7656643115847789,11.115939275823065
2025-05-13 18:00:00,6.388850607724636,0.7759709093221976,10.994497457784727
2025-05-13 19:00:00,6.174171344263177,0.7842871093524413,10.909813801946976
2025-05-13 20:00:00,6.029445075571992,0.7900711322882626,10.86590893300253
2025-05-13 21:00:00,5.963256363199233,0.7930096406848104,10.863343728937263
2025-05-13 22:00:00,5.9771952295844475,0.7930411887000047,10.899276270058298
2025-05-13 23:00:00,6.066412254942146,0.7903410245938769,10.967916193813172
2025-05-14 00:00:00,6.220770739421829,0.7852803933938287,11.06134616323302
2025-05-14 01:00:00,6.426239488827579,0.7783746443111995,11.170400059053351
2025-05-14 02:00:00,6.666239530440619,0.7702316710124333,11.285501642791232
2025-05-14 03:00:00,6.92287014348725,0.7615044715948351,11.397349209578804
2025-05-14 04:00:00,7.177986873195697,0.7528502283138745,11.497452524967679
2025-05-14 05:00:00,7.41419846859058,0.7448945473491052,11.578554987555233
2025-05-14 06:00:00,7.615904014703124,0.7381952507300067,11.634979007370763
2025-05-14 07:00:00,7.770385674825366,0.7332054181252213,11.662966464146647
2025-05-14 08:00:00,7.868744362405438,0.7302412967334556,11.66091328345719
2025-05-14 09:00:00,7.906623611669627,0.729457046134117,11.62950842496181
2025-05-14 10:00:00,7.8845005897812115,0.7308338019703082,11.571680863253945
2025-05-14 11:00:00,7.8074419234863095,0.7341871715310432,11.492309574847237
2025-05-14 12:00:00,7.684471583076315,0.7391894358312832,11.39775112923162
2025-05-14 13:00:00,7.527599276023905,0.7454042675231295,11.295246565909657
2025-05-14 14:00:00,7.350693565586432,0.7523278569555787,11.192287016088796
2025-05-14 15:00:00,7.168335683431668,0.7594311471494614,11.096021278743242
2025-05-14 16:00:00,6.994749079087205,0.7661993266631147,11.012751321924748
2025-05-14 17:00:00,6.842851750305675,0.7721665101043625,10.947541906399618
2025-05-14 18:00:00,6.723455099832363,0.7769445987542544,10.903946717771113
2025-05-14 19:00:00,6.6446209976111685,0.7802459520882337,10.883845103863987
2025-05-14 20:00:00,6.611194897212934,0.7818995107790575,10.887384753503117
2025-05-14 21:00:00,6.624550543338049,0.7818593392100082,10.913028443864674
2025-05-14 22:00:00,6.682586164025215,0.7802043994915822,10.957712282660147
2025-05-14 23:00:00,6.779984116874217,0.7771291033533441,11.01710979927457
