Date,Forecasted Temperature (C)
2025-07-06,17.318943594063427
2025-07-07,16.962792075097777
2025-07-08,16.707963735258478
2025-07-09,16.513024616797207
2025-07-10,16.354845399542633
2025-07-11,16.22041257738135
2025-07-12,16.102310120807168
2025-07-13,15.996225911323194
2025-07-14,15.899575146099398
2025-07-15,15.810739953093606
2025-07-16,15.728648986337625
2025-07-17,15.652544624592744
2025-07-18,15.581853715980005
2025-07-19,15.516115497297264
2025-07-20,15.454941105130104
2025-07-21,15.39799056325967
2025-07-22,15.344959456674154
2025-07-23,15.295570992113289
2025-07-24,15.2495710702107
2025-07-25,15.206725056429692
2025-07-26,15.166815524061214
2025-07-27,15.129640566013904
2025-07-28,15.095012450715252
2025-07-29,15.062756496107797
2025-07-30,15.03271009029134
2025-07-31,15.004721817594774
2025-08-01,14.978650665661252
2025-08-02,14.954365298512878
2025-08-03,14.93174338584361
2025-08-04,14.91067098180303
2025-08-05,14.891041948289086
2025-08-06,14.872757418823033
2025-08-07,14.855725299742463
2025-08-08,14.839859805889095
2025-08-09,14.82508102828121
2025-08-10,14.811314531498633
2025-08-11,14.798490978700208
2025-08-12,14.78654578235636
2025-08-13,14.775418778921695
2025-08-14,14.76505392580036
2025-08-15,14.755399019073016
2025-08-16,14.746405430561097
2025-08-17,14.738027862902538
2025-08-18,14.730224121404593
2025-08-19,14.722954901524195
2025-08-20,14.716183590905215
2025-08-21,14.709876084975456
2025-08-22,14.704000615174484
2025-08-23,14.698527588947163
2025-08-24,14.69342944069692
2025-08-25,14.688680492948084
2025-08-26,14.684256827017975
2025-08-27,14.680136162547402
2025-08-28,14.67629774528278
2025-08-29,14.67272224254467
2025-08-30,14.669391645856276
2025-08-31,14.666289180241435
2025-09-01,14.663399219735318
2025-09-02,14.660707208682249
2025-09-03,14.658199588424287
2025-09-04,14.655863729011314
2025-09-05,14.653687865588672
2025-09-06,14.65166103914197
2025-09-07,14.649773041300607
2025-09-08,14.648014362922005
2025-09-09,14.6463761461976
2025-09-10,14.644850140039352
2025-09-11,14.643428658522096
2025-09-12,14.642104542172376
2025-09-13,14.640871121908864
2025-09-14,14.639722185452664
2025-09-15,14.638651946038383
2025-09-16,14.63765501326834
2025-09-17,14.636726365963145
2025-09-18,14.635861326871888
2025-09-19,14.635055539114555
2025-09-20,14.634304944238059
2025-09-21,14.633605761775312
2025-09-22,14.632954470204426
2025-09-23,14.632347789212114
2025-09-24,14.631782663171972
2025-09-25,14.631256245754424
2025-09-26,14.630765885590828
2025-09-27,14.63030911291951
2025-09-28,14.629883627146494
2025-09-29,14.629487285258271
2025-09-30,14.629118091028236
2025-10-01,14.628774184962433
2025-10-02,14.628453834933982
2025-10-03,14.628155427458994
2025-10-04,14.627877459570062
2025-10-05,14.627618531246362
2025-10-06,14.627377338362281
2025-10-07,14.627152666119011
2025-10-08,14.62694338292607
2025-10-09,14.626748434701888
2025-10-10,14.626566839564804
2025-10-11,14.626397682887688
2025-10-12,14.6262401126913
2025-10-13,14.6260933353532
2025-10-14,14.62595661161055
2025-10-15,14.625829252836734
2025-10-16,14.625710617573004
2025-10-17,14.625600108297679
2025-10-18,14.625497168416663
2025-10-19,14.62540127946008
2025-10-20,14.625311958470938
2025-10-21,14.625228755572651
2025-10-22,14.625151251703183
2025-10-23,14.625079056504383
2025-10-24,14.6250118063559
2025-10-25,14.624949162543759
2025-10-26,14.62489080955439
2025-10-27,14.6248364534855
2025-10-28,14.624785820565798
2025-10-29,14.624738655776104
2025-10-30,14.624694721564927
2025-10-31,14.624653796651993
2025-11-01,14.624615674913745
2025-11-02,14.62458016434517
2025-11-03,14.62454708609275
2025-11-04,14.624516273553638
2025-11-05,14.62448757153654
2025-11-06,14.624460835480072
2025-11-07,14.62443593072467
2025-11-08,14.624412731834349
2025-11-09,14.62439112196493
2025-11-10,14.624370992275542
2025-11-11,14.62435224138043
2025-11-12,14.624334774838314
2025-11-13,14.62431850467672
2025-11-14,14.624303348948898
2025-11-15,14.624289231321086
2025-11-16,14.624276080688048
2025-11-17,14.624263830814938
2025-11-18,14.624252420003701
2025-11-19,14.624241790782332
2025-11-20,14.624231889615395
2025-11-21,14.624222666634397
2025-11-22,14.624214075386615
2025-11-23,14.62420607260113
2025-11-24,14.62419861797089
2025-11-25,14.624191673949698
2025-11-26,14.6241852055631
2025-11-27,14.624179180232241
2025-11-28,14.624173567609773
2025-11-29,14.624168339427005
2025-11-30,14.624163469351524
2025-12-01,14.624158932854574
2025-12-02,14.624154707087508
2025-12-03,14.624150770766706
2025-12-04,14.62414710406639
2025-12-05,14.624143688518751
2025-12-06,14.624140506920948
2025-12-07,14.624137543248459
2025-12-08,14.624134782574366
2025-12-09,14.62413221099418
2025-12-10,14.62412981555581
2025-12-11,14.624127584194325
2025-12-12,14.624125505671186
2025-12-13,14.624123569517646
2025-12-14,14.62412176598202
2025-12-15,14.62412008598057
2025-12-16,14.624118521051756
2025-12-17,14.62411706331361
2025-12-18,14.62411570542405
2025-12-19,14.624114440543892
2025-12-20,14.624113262302403
2025-12-21,14.62411216476522
2025-12-22,14.624111142404459
2025-12-23,14.624110190070866
2025-12-24,14.624109302967893
2025-12-25,14.624108476627532
2025-12-26,14.624107706887813
2025-12-27,14.624106989871844
2025-12-28,14.624106321968284
2025-12-29,14.62410569981315
2025-12-30,14.624105120272878
2025-12-31,14.624104580428538
